Juge;Seance;Produit;Rang;Epice;Capiteux;Fruite;Vert;Vanille;Notes florales;Boise;Agrume;Fraicheur marine;Gourmand;Oriental;Enveloppant
SO;1;Coco mademoiselle EP;1;0.6;0.7;7.1;0.8;2;8.6;0.7;0.3;3.4;0.8;0.9;3.8
SO;1;Lolita Lempicka EP;2;1.4;1.5;3.2;1.3;5.3;4.4;1.1;1.8;1;9.5;1;7.9
SO;1;Angel EP;3;3.8;9.7;1;0.6;1.9;3.6;0.6;0.7;0.5;9.8;0.7;7.3
SO;1;Pure Poison EP;4;1.1;1.2;7.4;0.2;2.5;9.5;0.8;1;0.8;3.8;7;8.9
SO;1;Chanel n5 EP;5;4.9;8.4;3;0.3;NA;4.9;3.3;0;0;1.9;9;9.5
SO;1;Aromatics Elixir;6;8.6;10;0;0;3.1;5;1.2;0;0;0;6;8.5
SO;1;Jadore ET;7;1.5;0;9.4;0.3;0.3;8.1;0.5;0.5;0.5;1;0.3;8.1
SO;1;Pleasures EP;8;0.2;0.2;5.3;2.8;NA;9.3;0.5;4.2;6.3;0.7;0.3;5.8
SO;1;Jadore EP;9;0.5;0.4;9.6;0.3;0.5;7.5;0.5;7.3;0.3;0.4;0.4;4.6
SO;1;Linstant EP;10;2;8;0.5;0.5;4;7;4;1.8;0.2;5.1;6.5;9.1
SO;1;Cinema EP;11;0.3;0.8;5;1.2;0.2;7.3;0.6;5.5;1.5;2.3;0.2;3.9
SO;1;Shalimar ET;12;8.5;9.8;0.3;0.5;1.2;4.8;6.8;0.6;0.7;2.5;9.6;9.5
SO;2;Shalimar ET;1;9.6;9.3;1.4;1;1.6;3.7;1.6;0.1;0.1;0.1;8.6;9.4
SO;2;Cinema EP;2;0.3;0.5;8.4;0.3;2.3;8.8;0.3;3.8;0.3;2.4;0.3;4
SO;2;Linstant EP;3;1.2;1.1;5;0.1;4.4;7.8;2.7;0.1;0.1;3.3;2.3;8.9
SO;2;Jadore EP;4;0.2;0.5;8.8;0.5;0.7;7.7;0.4;0.3;0.5;0.5;0.4;0.5
SO;2;Pleasures EP;5;0.5;0.6;7.6;0.3;0.5;9.8;0.6;2.4;0.2;0.2;0.3;6.7
SO;2;Jadore ET;6;0.5;0.7;8.6;0.5;1;8.6;0.3;0.5;0.3;3;0.3;7.7
SO;2;Aromatics Elixir;7;6.5;9.9;1.1;2.6;0.1;4.3;2;0.2;0.3;0.2;5.5;9.9
SO;2;Chanel n5 EP;8;2.4;9.6;1.1;0;0.1;8;1.9;0.2;0.2;0;7.8;9.8
SO;2;Pure Poison EP;9;0.5;0.6;2.6;0;0.4;9;1.3;1.6;0;0.4;0.5;0.3
SO;2;Angel EP;10;7.2;9.8;5.1;0.2;4.1;3.1;0.3;0.2;0.1;9.9;1.6;9.8
SO;2;Lolita Lempicka EP;11;2;0.9;6.9;0.4;7.3;4;1.6;6.8;0.3;9.9;8.6;7.4
SO;2;Coco mademoiselle EP;12;1.2;3.6;8.6;0.3;2.1;9.4;0.3;2.6;0;0.2;1;8.5
ST;1;Lolita Lempicka EP;1;0;0;0;0;10;0;0;0;0;10;0;1.5
ST;1;Pure Poison EP;2;0;0;9;0.3;0.4;5;0;0;0;0;0;0
ST;1;Coco mademoiselle EP;3;0.7;0;9.2;0;1.5;2.8;0;0;0;1.5;2.3;0.5
ST;1;Aromatics Elixir;4;8.6;10;0;2.3;1;5;8;0;0;0;10;10
ST;1;Angel EP;5;6.8;10;0;0;10;0;0;0;0;10;0;10
ST;1;Pleasures EP;6;0;0;8.8;2.7;0;9;0;1.2;0;0.5;0;0
ST;1;Chanel n5 EP;7;8.2;10;3.7;1.1;8.6;0;0;0;0;0;9.7;9.7
ST;1;Linstant EP;8;0;0;7.8;0;0;8;0;0;0;0;0;0
ST;1;Jadore ET;9;0;0;9.6;0.7;0.2;9.6;0;0;0;0;0;0
ST;1;Shalimar ET;10;10;9.2;3.9;0;6.9;0;7.2;0;0;0;10;10
ST;1;Jadore EP;11;0;0;8.8;1;0;9;0;0;0;0;0;0
ST;1;Cinema EP;12;0;0;9.5;0;2.2;5;2.5;0;0;5;0;0
ST;2;Cinema EP;1;0;0;8.5;0;3.7;0;0;0;0;1.3;0;0
ST;2;Jadore EP;2;0;0;9.2;0;0;9.3;0;0;0;0;0;0
ST;2;Shalimar ET;3;9;10;0;NA;7.7;0;1.8;0;0;0;9.3;9.5
ST;2;Jadore ET;4;0;0;9.1;0;9.5;9.2;0;0;0;0;0;0
ST;2;Linstant EP;5;0;0;8.5;0;4.2;9;0;0;0;0;0;0
ST;2;Chanel n5 EP;6;3.5;9;5;0;0;9.3;0;0;0;0;6.7;7.5
ST;2;Pleasures EP;7;0;0;3.8;8.7;0;8.8;0;1;0;0;0;0
ST;2;Angel EP;8;1.5;5.7;0;0;9.6;0;0;0;0;10;0.8;10
ST;2;Aromatics Elixir;9;9.2;5.6;2.2;0;2.7;0;1.4;0;0;0;8.2;7
ST;2;Coco mademoiselle EP;10;0;0;9;0.7;1.4;9;0;0;0;0;2.5;1.2
ST;2;Pure Poison EP;11;0.2;0.2;8.5;0;1.5;3.2;1.4;0;0;1.7;1.7;0
ST;2;Lolita Lempicka EP;12;0;7;0;0;10;0;0;0;0;10;0;8.3
SM;1;Pure Poison EP;1;0;1.5;8;1.1;0;8.7;0;2;1;0;0;2.9
SM;1;Aromatics Elixir;2;7.5;9;0.2;0.1;6;1.7;2.8;0;0;1.2;9.5;9
SM;1;Lolita Lempicka EP;3;0.3;7.5;1.8;0;9.5;2.5;0;0;0;9.8;8;9.8
SM;1;Pleasures EP;4;0.2;0.8;1.2;7.8;0.1;6.8;0;0.3;0;0;0;2.9
SM;1;Coco mademoiselle EP;5;0;0.5;0.5;2.2;0.1;9.3;0;3.9;0;0;0;2.8
SM;1;Linstant EP;6;0;5.8;0;0;7.5;5.2;0;0;0;4.3;7.9;7
SM;1;Angel EP;7;0.5;9.5;1.8;0;8.5;2.1;1;0;0;9.8;9.7;9.7
SM;1;Shalimar ET;8;0;4.5;1.3;0;6.5;6;0;0;0;0.7;4.6;2.7
SM;1;Chanel n5 EP;9;0;5.5;1.2;0;2.7;6.4;0.2;0.9;0;0.6;0.6;8.7
SM;1;Cinema EP;10;0.2;4.1;6;0;3.7;5.5;0;0;0;5.7;2.2;5.7
SM;1;Jadore ET;11;0.2;2;2.2;4.1;0.3;5.5;0;0.5;0;0;0;6
SM;1;Jadore EP;12;0;1.2;1.3;0;0;6;0;2.4;5.5;0;0;3.8
SM;2;Jadore EP;1;0.2;0.1;7.2;4;0.2;9.4;0.1;0.2;0.2;0.2;0.2;7.3
SM;2;Jadore ET;2;0.2;1.1;7.3;4.4;0.2;9.4;0.2;0.4;0.1;0;0.1;2.1
SM;2;Cinema EP;3;0.2;6.1;0.8;0.1;8.2;3.1;0.1;0.1;0.1;7.7;3.5;7.8
SM;2;Chanel n5 EP;4;0.2;6.7;0.1;0.2;0.8;8.7;0;3.1;0.1;0.7;0.1;8.9
SM;2;Shalimar ET;5;3.6;3.7;0.9;0;6.2;6;1;0.1;0;4.2;6.5;6.6
SM;2;Angel EP;6;1;9.6;2.3;0.1;7.7;2.5;1.4;0.1;0.1;9.6;9.6;9.6
SM;2;Linstant EP;7;0.1;6;1.3;0;7.5;5.4;0.1;0.1;0.2;5.1;4.1;6.3
SM;2;Coco mademoiselle EP;8;0.1;1.9;4;0;1.2;7.6;0.2;3.6;0.1;0.5;0.1;5.4
SM;2;Pleasures EP;9;0.1;1;3.9;5.3;1.1;7.7;0.1;0;0.1;0.2;0.1;1.1
SM;2;Lolita Lempicka EP;10;0.9;7.9;2.1;0;8.2;5.1;1.1;0;0;8.7;8.7;8.7
SM;2;Aromatics Elixir;11;4.8;8.8;0.8;0.1;4.5;5.7;0.1;0;0.1;3;9.3;8.5
SM;2;Pure Poison EP;12;0.1;0.8;2.6;1.7;0.3;7.6;0.1;1.3;0.1;0.2;0;1.6
CR;1;Aromatics Elixir;1;0;0.6;0.2;0;0;1.4;0.6;0.3;0;0;6.8;8.7
CR;1;Pleasures EP;2;0.3;0.7;7.3;0.5;0;7;5;5.5;NA;0;0.1;1.2
CR;1;Pure Poison EP;3;0.7;6.4;3.7;0;0;6.9;5.7;0.2;0.1;0.2;2.5;5
CR;1;Linstant EP;4;0;0.7;8;0;9.3;7.8;1;0.1;0.1;1.9;0.5;1.8
CR;1;Lolita Lempicka EP;5;0.2;0;9.2;0.1;9.4;3.5;0.1;1;0.2;9.3;0.1;0.7
CR;1;Shalimar ET;6;0.2;8.8;0.5;0.1;0.4;7.8;5.6;0;0;0.1;8;8.8
CR;1;Coco mademoiselle EP;7;0;0.1;1;0.1;1.2;10;0.2;0.1;0.1;0.2;9.4;0.9
CR;1;Cinema EP;8;0.4;1.1;2.7;0.6;3.6;6.2;0.1;0;1;2.2;0.1;1.2
CR;1;Angel EP;9;1;2.3;6.2;0;8.3;3.5;0;0;0.5;7;0.1;5
CR;1;Jadore EP;10;0;0.7;9.3;0;0.2;9.5;0.5;0;0;3;0;2.1
CR;1;Chanel n5 EP;11;0.2;10;NA;0;0.3;6.1;1.3;0;0;0.2;8.8;7.8
CR;1;Jadore ET;12;0;0.7;8.8;0;0.6;8.7;0.2;0.9;0;5;0.2;1.9
CR;2;Jadore ET;1;0.2;0.2;6.8;0;0.4;8.1;0.1;0.5;0.5;1;0.1;0.9
CR;2;Chanel n5 EP;2;0.6;1.7;0;0.2;0.6;8.8;1.1;0.3;0.1;0;8.3;8.1
CR;2;Jadore EP;3;0.4;1.5;8.4;0.1;1;9;1.2;0.4;0.1;0;8.4;7.1
CR;2;Angel EP;4;0.7;1.1;7;0.1;5.8;4.7;0.3;1.8;0.1;7.2;0.2;3
CR;2;Cinema EP;5;0.1;1.5;4.2;0.2;4.4;8.2;1;1.8;0;6.4;0.2;2.3
CR;2;Coco mademoiselle EP;6;0;1.1;2.8;0.1;1;9.1;0.8;0.2;0.1;2.3;9.3;5.5
CR;2;Shalimar ET;7;2.3;7.1;0.3;0.1;1.4;8.8;4.3;0;0.1;0;10;7.1
CR;2;Lolita Lempicka EP;8;0.5;1.4;6.5;0;9;7.7;0.2;1;0;8.8;0.4;7
CR;2;Linstant EP;9;0.6;1.4;6.9;0;6.5;8.5;0.8;1.5;4.1;2.1;0.3;1.2
CR;2;Pure Poison EP;10;5;6.5;0.7;0.1;0.7;7.6;3.8;0.2;0.3;0.1;8.4;7.7
CR;2;Pleasures EP;11;0.2;0.9;8.3;0.1;0.6;8.8;0.2;0.8;0.8;2.9;0.2;3.5
CR;2;Aromatics Elixir;12;2.1;7.2;0.3;0;1.3;8.1;0.5;1;0.1;0.3;9;7.2
CM;1;Pleasures EP;1;0.7;0;0.3;6.2;0;8.7;0;0.5;0;0.3;0;0.7
CM;1;Linstant EP;2;0;0.3;1.3;0;8.3;5.8;0;1.2;0;6.3;0;8.4
CM;1;Aromatics Elixir;3;5.8;10;0;0;0;4.3;2.2;0;0;0;6.4;6.4
CM;1;Shalimar ET;4;3.2;10;0;0;4;6.2;3.7;0;0;1.2;10;9.4
CM;1;Pure Poison EP;5;0;0.5;2.4;0.7;7.9;8.9;0;2.5;0;7.5;0;9
CM;1;Cinema EP;6;0;1.3;6.7;0.7;6;6;0;1;0;10;0;9.4
CM;1;Lolita Lempicka EP;7;0;0.8;7.5;2.5;6.2;9;0;3.5;0.5;10;0;9.5
CM;1;Jadore EP;8;0;1;7.7;5.7;0.5;9.3;0;2.1;0;6.2;1.1;8.1
CM;1;Coco mademoiselle EP;9;1;0.5;2.7;1;0.5;8.8;0.7;4.3;0;7.2;0;9
CM;1;Jadore ET;10;1.5;4;5.5;3.1;0.5;9.5;0;1.7;0.5;5.3;0.3;5.4
CM;1;Angel EP;11;5.8;10;0.7;0;8.7;1.7;0;0;0;5;7.7;9.2
CM;1;Chanel n5 EP;12;4.5;9.2;1.2;1.7;0.5;6.4;0;0;0;0;10;9.6
CM;2;Chanel n5 EP;1;1.2;8.7;0;0;1;6;0;0;0;0.5;9.5;8.8
CM;2;Angel EP;2;1.5;9.7;0;0;3.3;1.5;0.9;0;0;4;6.2;5.7
CM;2;Jadore ET;3;0;1.8;4.2;0.7;0;9;0;1.2;0.2;2.2;0;6.7
CM;2;Coco mademoiselle EP;4;0;1.2;3.3;0.7;0.3;8.8;0;1.8;0.3;7.2;0;8.8
CM;2;Jadore EP;5;0;1;4.3;4.2;1;9;0;2;0;3;0;7.5
CM;2;Lolita Lempicka EP;6;0;1.2;6.2;0.4;0;7.2;0;1.3;0;9.5;0;9.2
CM;2;Cinema EP;7;0.7;0;2.2;0.2;7.5;6.1;0;0;0;8.2;0;8.8
CM;2;Pure Poison EP;8;0;0.8;0.8;1.6;3.5;6.5;0;2;0;6.3;0;8.4
CM;2;Shalimar ET;9;4.3;8.7;0;0;1.7;4.4;1.5;0;0;0;10;4
CM;2;Aromatics Elixir;10;2;9.3;0;0;1.2;2.2;2;0;0;0;9.7;4.2
CM;2;Linstant EP;11;1.3;0.7;4.5;0.5;7;6.1;0;3.7;0;7.8;0;8.2
CM;2;Pleasures EP;12;0;0;6.3;8;0;8;0;1.5;0.5;1.2;0;6.5
SD;1;Linstant EP;1;0;5;2.1;0;1.2;8.4;0.1;0.8;0.2;6;0.1;5
SD;1;Shalimar ET;2;6.1;10;0.2;0.2;1.2;5;1;7.5;0.2;0.1;10;3.2
SD;1;Pleasures EP;3;0.2;0.2;5;5;0.2;9.8;0.3;0.5;0.3;0.2;0.2;0.2
SD;1;Cinema EP;4;0.2;7.1;3.6;0.2;9;5.1;6.5;0.2;0.2;9.9;0.2;9.8
SD;1;Aromatics Elixir;5;8.6;9.8;0.2;0.3;0.2;3.5;3.5;3.4;0.3;0.2;9.8;9.9
SD;1;Jadore EP;6;0.2;0.2;7.5;5;0.3;9.8;1.1;0.2;0.3;5;0.2;0.2
SD;1;Pure Poison EP;7;0.2;0.2;1.5;8.3;0.2;9.8;1;0.9;0.2;0.1;0.1;0.2
SD;1;Jadore ET;8;0.2;0.1;0.2;6.5;0.1;0.6;0.2;0.2;0.1;0.2;0.1;0.1
SD;1;Lolita Lempicka EP;9;0.1;9.9;0.2;0.2;9.9;0.2;0.9;0.2;0.3;9.9;0.2;9.9
SD;1;Chanel n5 EP;10;9.9;9.9;0.2;0.2;0.2;5.7;0.2;5.6;0.2;0.2;9.8;6
SD;1;Coco mademoiselle EP;11;3;0.2;1.3;0.3;1.2;9.8;4.1;0.1;0.1;0.2;0.2;9.6
SD;1;Angel EP;12;0.1;9.9;0.2;0.2;9.9;0.2;0.2;0.1;0.2;9.8;2.3;9.8
SD;2;Angel EP;1;0;9.8;0;0;9.8;0;0;0;0;8.5;1.3;9.7
SD;2;Coco mademoiselle EP;2;0;1;2.2;0;0;10;2.2;0;0;0;0;6.5
SD;2;Chanel n5 EP;3;6;10;0;0;1;5;2.5;7.5;0;0;9.8;4.8
SD;2;Lolita Lempicka EP;4;0;8.7;0;0;9.7;4.8;0;0;0;10;0;10
SD;2;Jadore ET;5;0;2.5;8;5;0;10;1.5;0;0;0;0;5
SD;2;Pure Poison EP;6;0;0;1.2;0;3.2;9.5;0.5;0;0;1;0;7.5
SD;2;Jadore EP;7;0;0;3.2;7.3;0;9.2;0;0;0;0;0;5
SD;2;Aromatics Elixir;8;1.2;10;0;0;1;10;6.7;5;0;0;9.7;5
SD;2;Cinema EP;9;0;5;5.7;0;9;6;0;0;0;3.2;0.2;8
SD;2;Pleasures EP;10;0;0;2.2;9.8;0;10;0;0;0;0;0;2.2
SD;2;Shalimar ET;11;2.5;5;0;2.5;0;10;0;5;0;0;9.5;9
