Juge;Seance;Produit;Rang;Epice;Capiteux;Fruite;Vert;Vanille;Notes florales;Boise;Agrume;Fraicheur marine;Gourmand;Oriental;Enveloppant
SD;2;Linstant EP;12;0;0;1.3;0;6;10;0;0;0;4.2;0;10
MLD;1;Angel EP;1;1.2;9.9;0;0;9;0;0;0;0;10;0;0
MLD;1;Coco mademoiselle EP;2;0;0;10;0;0;9.8;0;0;0.9;0;0;0
MLD;1;Chanel n5 EP;3;0;10;0;0;0;1.2;0;0;0;0;0;7.3
MLD;1;Lolita Lempicka EP;4;1;0;0.6;0;8.2;2.7;0;0;0;6.7;2.7;8.2
MLD;1;Jadore ET;5;0;0;9.7;1.1;0;10;0;0.9;0.7;5;0;0.3
MLD;1;Pure Poison EP;6;0;0.7;0.8;0;0.5;9;0;0;0.5;3;0.2;9.4
MLD;1;Jadore EP;7;0;0;9.8;2.2;0;10;0;5.5;7.7;1.3;0;3
MLD;1;Aromatics Elixir;8;9;9.7;0;1;0;1;0;0;0;0;0;9.5
MLD;1;Cinema EP;9;7.3;5.8;8.3;0.5;8.8;3.4;0;0;0;2;5;8
MLD;1;Pleasures EP;10;0;0;6.5;2;0;9.7;0;0.9;9.5;0;0;0
MLD;1;Shalimar ET;11;10;10;0;0;1.8;2;0;0;0;0;8.3;9.6
MLD;1;Linstant EP;12;2.1;0.6;4.1;0;6.9;8.2;0;0;1;1.7;8.4;9.8
MLD;2;Linstant EP;1;2;9;2.3;0;6.4;8.7;0;0;0;0.7;8.5;9.5
MLD;2;Shalimar ET;2;9.5;9.4;0;0.3;0;2.2;0.3;0;0;0.2;9.8;9.2
MLD;2;Pleasures EP;3;0;0;9.5;0.6;0.1;8.5;0;0.7;0.3;0;1.7;0.3
MLD;2;Cinema EP;4;0.8;2;8.7;0.3;8.7;4.2;0;0.7;0;8.7;7;9
MLD;2;Aromatics Elixir;5;8.2;9.5;0;0.9;0;2;1;0.2;0;0;9.2;9.7
MLD;2;Jadore EP;6;0;0;9.8;0.5;2.2;9.8;1;5;0.2;1.4;0.2;0.3
MLD;2;Pure Poison EP;7;0.3;0.3;1.6;0.1;4.4;3.9;0.1;0.5;0;1.9;0;9.8
MLD;2;Jadore ET;8;0.5;0.2;9.7;0.5;1;9.6;1;5;0.5;1.8;0.2;2.4
MLD;2;Lolita Lempicka EP;9;0.7;7.2;0.7;0.1;9.8;0.5;0;0;0;9.5;1.3;9.9
MLD;2;Chanel n5 EP;10;0.3;9.9;0;1.5;0.1;9.4;0.2;0.2;0.2;0;2;9.5
MLD;2;Coco mademoiselle EP;11;0.3;0.3;9.9;0.8;0;9.9;0;0.7;0.2;1.3;1;0.6
MLD;2;Angel EP;12;9.5;9.7;0.3;0;9.4;0.2;1;0;0;9.7;8.5;10
GV;1;Chanel n5 EP;1;0.8;3.1;0;0;0;9.8;2.5;0;0;0.4;0.7;5.5
GV;1;Angel EP;2;0.6;8.3;3.1;0;7.7;0.3;1.3;0.4;0.1;9.8;4.4;5.4
GV;1;Jadore ET;3;0.3;0.3;9.6;0.2;0.5;9.9;0.2;5.1;0;3.5;0.3;0.5
GV;1;Coco mademoiselle EP;4;0.2;1.1;6.1;0;0.2;7.7;0.2;0.5;0;2.8;6.5;4
GV;1;Jadore EP;5;0.1;0.2;4.6;0;0.1;8.8;0.2;6.4;0;0.8;0.7;3.9
GV;1;Lolita Lempicka EP;6;0;1;8.2;0;10;5.2;0;0.2;0;10;1;1.3
GV;1;Cinema EP;7;0.2;0.1;6;0;0.1;9;0.3;2.5;0;5.3;5.3;NA
GV;1;Pure Poison EP;8;6.4;5.3;4.6;0;0.3;7.6;0.2;0;0;0.8;6.8;6.3
GV;1;Shalimar ET;9;5.3;10;0;0;0;9.7;4.9;0.3;0;0;0.2;6.2
GV;1;Aromatics Elixir;10;8.8;9.6;0;0;0;8.4;5.4;0;0;0;5;5.1
GV;1;Linstant EP;11;0;0;6.7;0.1;0;9;0;5.1;0.1;0.2;0.2;0.3
GV;1;Pleasures EP;12;0;0;0.2;0.5;0.1;10;0;4.5;5.1;0.3;0.1;0.3
GV;2;Pleasures EP;1;0.2;0.3;1.7;0;0.5;9.3;0;1;0.1;3.8;5;2.6
GV;2;Linstant EP;2;0.2;0.7;3.1;0;0.5;9.8;0.3;0.7;0;3.7;5;2.3
GV;2;Aromatics Elixir;3;9.1;9.5;0.8;0;0.2;9.8;3.3;1.9;0.3;0.2;5.2;5.8
GV;2;Shalimar ET;4;4.5;5.3;1.3;0;4;9.8;2;1;0.5;0;5.2;5.3
GV;2;Pure Poison EP;5;5.2;5.7;5.1;0;5;8.2;5.1;1;0;0.5;9.7;6.2
GV;2;Cinema EP;6;0;1.2;9.8;0;0.2;7.7;0;5.2;0;8.7;5.8;4.3
GV;2;Lolita Lempicka EP;7;0.2;5;6;0;10;0.5;0.2;2.7;0;10;5.8;8.8
GV;2;Jadore EP;8;0;0.2;6.3;0;0.3;8.8;0.2;7.2;0;3.2;5.5;4
GV;2;Coco mademoiselle EP;9;0.2;0.2;8.2;0.1;0;9.6;0.3;4;0;8.5;9;7.7
GV;2;Jadore ET;10;0.2;0.3;0.2;0;0;9.8;0.8;2.2;2;5.1;5.7;5.2
GV;2;Angel EP;11;9.8;9.8;0;0;0.2;9.8;5.3;5;0;0;5;4.3
GV;2;Chanel n5 EP;12;6.2;9;1;0.4;0.3;10;0.2;1.3;2;0.2;4.8;7.7
NMA;1;Jadore ET;1;0;5.5;0;2.8;0.6;9;5;0;0;0;4.3;8.3
NMA;1;Chanel n5 EP;2;5.2;8.3;0;0;0.6;5.2;0.5;0;0;0.9;7.6;8
NMA;1;Jadore EP;3;0.5;7;6.8;1.3;0;10;5;0;7.4;0;7.5;7.5
NMA;1;Angel EP;4;7.2;7;5.9;0;6.5;5.5;5.4;0;0;1.1;9;9
NMA;1;Cinema EP;5;0.8;1.9;5.6;0;1.4;8.8;3.9;0;7.1;0.5;0;5.8
NMA;1;Coco mademoiselle EP;6;3.1;0.7;5;5;0.8;10;6.6;0;9;5.8;0;1.7
NMA;1;Shalimar ET;7;8.2;8.1;0;0;6;3.8;0;0;0.8;3.1;10;9.1
NMA;1;Lolita Lempicka EP;8;9;8.8;0;5.5;10;0;4.2;0;0;10;10;10
NMA;1;Linstant EP;9;0;5;7.1;3.5;5.4;10;5.5;0;9.3;0.6;0;5.7
NMA;1;Pure Poison EP;10;4.1;0.4;9;0;0.2;9.2;5.5;0;7.4;0;0;2
NMA;1;Pleasures EP;11;6.6;6.5;6.3;4;0;9;0;0;1.2;1.8;9;9
NMA;1;Aromatics Elixir;12;8.2;8.1;0;0;0.4;9.3;5;0.4;0.4;0.1;5.5;10
NMA;2;Aromatics Elixir;1;0.5;7.8;0;3.6;0;9.2;1;0;0;0;7.9;7.3
NMA;2;Pleasures EP;2;0;7.7;2;3.6;0.4;9.9;5.7;0;0;0.2;7;6.9
NMA;2;Pure Poison EP;3;9.1;8.1;0.9;0.1;6.1;7.8;1.1;0;0;0.7;8.1;7.2
NMA;2;Linstant EP;4;5.8;6.7;9.4;0;8;9.4;2;0;0;8;8;8.1
NMA;2;Lolita Lempicka EP;5;8.8;8.7;5.3;0.3;9.6;0;2.1;0;0.1;10;9.3;9.6
NMA;2;Shalimar ET;6;9.3;9.1;0.4;0.3;8.2;7.9;3.6;0;0;8.2;9.8;9.8
NMA;2;Coco mademoiselle EP;7;6;7.7;10;0.2;6;9.3;0;0;0;9.3;8.2;9.2
NMA;2;Cinema EP;8;9.7;8.8;0.8;0;9.7;7.9;2.9;0;0;6.3;9.8;9.7
NMA;2;Angel EP;9;8.9;8.7;1.1;0;6.7;5.3;3.2;0;0.2;7.3;10;9.6
NMA;2;Jadore EP;10;0;7.7;0.9;0.2;0.7;10;4.2;0;0;0.3;0.4;7.8
NMA;2;Chanel n5 EP;11;8.9;8.7;0;0;7.8;7.4;0;0;0.2;6.6;10;9.8
NMA;2;Jadore ET;12;0.7;6.4;1.1;0.2;2.8;10;6.2;0;0.1;5.6;8.2;8.2
SQ;1;Jadore EP;1;0;0.5;5;1.2;0.1;3.9;0;1;0.2;0.4;0;0.2
SQ;1;Jadore ET;2;0;0.4;5.4;0.2;1.1;4.4;0.2;3.3;0;1;0;0.3
SQ;1;Cinema EP;3;1.9;0.3;1;0;3.2;0.6;0.1;0.1;2;0;1;0.5
SQ;1;Chanel n5 EP;4;6.7;9;0.8;0.6;3.8;1.5;2.5;0.4;0;1.1;5.6;2.4
SQ;1;Shalimar ET;5;8.1;3.5;1.8;0;2.9;0.4;5;0.3;0;0.7;5;0.4
SQ;1;Angel EP;6;5;6.5;3.4;0.4;5;4.2;1.5;0.3;0;7.2;1.1;3.2
SQ;1;Linstant EP;7;0.6;0;3.5;0;0.5;6.8;1;0.3;0;4.6;0.3;4.1
SQ;1;Coco mademoiselle EP;8;1.9;0.3;4.5;0;1.2;3.1;0.2;4.4;0;3.7;0;1.9
SQ;1;Pleasures EP;9;0;0;3.9;1.1;0.2;5.1;0.2;2.1;0.6;1.6;0;2.8
SQ;1;Lolita Lempicka EP;10;3.1;0.6;5.8;0;2.5;6.9;0.7;0.3;0.6;5.5;1.8;6.1
SQ;1;Aromatics Elixir;11;8;7;0.6;0.2;1.5;2.1;4.4;0.1;0;0.6;5.4;4.1
SQ;1;Pure Poison EP;12;0.2;0;1.5;0.2;4.1;7.2;0.7;0.4;0;4.8;0.2;5.7
SQ;2;Pure Poison EP;1;1;0;1.4;0;1.5;7;2.6;0.3;1.8;0.2;0;3.5
SQ;2;Aromatics Elixir;2;6.8;4.9;0.3;0.2;2.3;3.4;3;1.5;0.7;0;4.3;1.8
SQ;2;Lolita Lempicka EP;3;1.2;0.7;6;0.3;5.5;4.5;1.7;0.2;0;5.5;0.2;4.5
SQ;2;Pleasures EP;4;1;0;2.8;1.5;0.2;6.5;1.3;0.7;0.2;1.5;0;4.8
SQ;2;Coco mademoiselle EP;5;2.4;1.3;3.5;0.3;0.7;5.3;0.3;0.3;1.3;2.5;0;3.3
SQ;2;Linstant EP;6;1.5;0.7;3.3;0.5;5;4.2;3;0.7;0.5;2.4;0;3.3
SQ;2;Angel EP;7;3;1.4;5.5;0.5;3.3;6;1.5;0.8;1.2;4.3;0.7;3.7
SQ;2;Shalimar ET;8;3.5;0.8;2.2;0.2;4.8;1.5;4;4.8;0.8;2.5;3.6;3
SQ;2;Chanel n5 EP;9;3.5;4.9;1.5;1.3;0.8;6.2;3.2;2.3;0.2;1;5.7;2.3
SQ;2;Cinema EP;10;1.8;0.8;6;0.3;4.3;4.8;2.3;3;1.2;2.7;0.2;4.2
SQ;2;Jadore ET;11;0.7;1.5;5.5;1.3;1;4.8;0.3;2.5;1;3.2;0.3;5
SQ;2;Jadore EP;12;3.7;2.8;5.4;0.1;2.4;2;0.8;3.3;0.7;4.2;1;5.6
RL;1;Cinema EP;1;0;0;8;0;7;1;0;0;0;0;10;5
RL;1;Jadore EP;2;0;0;5;0;0;10;2;0;0;0;0;0
RL;1;Shalimar ET;3;9;10;1;3;0;0;2.5;0;0;0;5;7.7
RL;1;Jadore ET;4;0;0;5;0;0;10;0.9;1.1;0;0;0;0
RL;1;Linstant EP;5;0;0;1.6;0;10;1;0;0;0;4.5;5.7;5.5
RL;1;Chanel n5 EP;6;0.8;10;0;0;1.8;0.1;0.7;0;0;0;10;8.4
RL;1;Pleasures EP;7;0;0;0.4;4.8;0.1;10;0.6;5.4;0;0;0;0
RL;1;Angel EP;8;5;7.3;0;0;8.3;0.1;1.8;0;0;10;10;10
RL;1;Aromatics Elixir;9;9.8;5;0;0;7.5;0.1;1.3;0.1;0;0;10;9.2
RL;1;Coco mademoiselle EP;10;0;0;5.8;0;10;0.5;0;0.1;0;5;10;7.4
RL;1;Pure Poison EP;11;5;2.6;0.2;0;1.2;5.5;0.3;0;0;0.3;10;5
RL;1;Lolita Lempicka EP;12;0;5;0;0;10;0.4;0.4;0;0.1;8.7;9.6;9.6
RL;2;Lolita Lempicka EP;1;0;5;0.3;0;10;0.3;1;0;0;9.9;10;10
RL;2;Pure Poison EP;2;0.4;0;10;0;NA;1.1;1.1;0;0.1;0;0.8;0.9
RL;2;Coco mademoiselle EP;3;0.3;0;4.9;0.1;9.7;9.9;1.1;2.4;0;5.1;8.5;8.6
RL;2;Aromatics Elixir;4;8;9.9;0;0.5;9;0.5;1.4;0;0;0.1;10;10
RL;2;Angel EP;5;10;5;0.6;0;10;0.6;1.5;0.1;0.1;10;10;9.9
RL;2;Pleasures EP;6;0.1;0;9.9;0.3;0;5;0.9;5;0.1;0;0;0
RL;2;Chanel n5 EP;7;9.2;9.9;0;0.6;8.8;5.1;1.1;0;0;0;10;10
RL;2;Linstant EP;8;0;0;1.3;0;5;9.7;1.9;0;0;7.3;9.9;10
RL;2;Jadore ET;9;0;0;0.4;2.4;0;9.9;2.1;4.9;0;0;0;0
RL;2;Shalimar ET;10;10;10;2.2;0.4;9.4;2.4;9.7;1.3;0;0;10;10
RL;2;Jadore EP;11;0;0.1;5;0.7;0;9.5;2.6;7.8;0;0;0;0.8
RL;2;Cinema EP;12;0.1;0;5;0;8;5;2.3;1.1;0.2;5;9.9;10
FH;1;Shalimar ET;1;6;8;1.2;0;0.5;3.3;1.3;0;0;0.7;1.2;8.5
FH;1;Cinema EP;2;0.5;2.3;0;0;5;6;1;0;0.5;1;3.8;5.7
FH;1;Linstant EP;3;0;0.7;2.2;1.5;3.2;5.8;0.5;0.7;0.6;0.8;5;7
FH;1;Jadore EP;4;0;1.2;6.8;2.7;0.5;8.3;1.8;0.7;1.5;0.5;0.7;1.8
FH;1;Pleasures EP;5;1.3;2.8;2.9;1.7;0.5;5.8;1;0.2;1.3;0.5;0.5;2
FH;1;Jadore ET;6;1;1.7;2.5;1;0.7;6.3;1;0.2;0.1;0.7;0.6;1.2
FH;1;Aromatics Elixir;7;6;9.2;5.7;0.3;1.3;2.7;6.3;0.2;0;1;9.1;9.2
FH;1;Chanel n5 EP;8;6;7.6;4.1;2.1;2.2;8.6;1;0.3;0.4;0.2;5.4;9.7
FH;1;Pure Poison EP;9;0.2;2.1;0.6;0.5;0.5;7.3;0.5;0.3;1.4;0.2;0.8;9.2
FH;1;Angel EP;10;1.7;8.7;0.5;0.4;9.2;3.9;0.8;0.2;0.2;9.8;8.3;8.5
FH;1;Lolita Lempicka EP;11;1;8.2;1.2;0.4;6;1.5;1.5;0.3;0.2;9.3;5.7;7.5
FH;1;Coco mademoiselle EP;12;0.6;4.5;1.7;5;5.5;7.3;0.9;0.3;0.2;5.4;4.2;5.5
FH;2;Coco mademoiselle EP;1;0.3;0.5;0.2;1;0.2;5.8;0.5;0.2;0.2;1;1;2.7
FH;2;Lolita Lempicka EP;2;3.2;8.8;2.7;0.3;7.8;1.7;0.2;0.2;0.2;9.2;4;7.9
FH;2;Angel EP;3;1.8;8.8;1.4;0.2;9.5;1;0.2;0.1;0.1;9.5;7;8.8
FH;2;Pure Poison EP;4;0.2;1.6;1;0.2;0.5;7.5;0.5;0.2;0;2.1;0.7;8.5
FH;2;Chanel n5 EP;5;0.4;8;0.3;0.3;0.8;7.8;0.4;0.2;0;0.5;1.2;8.5
FH;2;Aromatics Elixir;6;4;9;2.3;0.3;0.4;3.4;0.2;0.2;0;1.3;7.3;9.3
FH;2;Jadore ET;7;0.5;1.5;6.2;0.6;0.3;6.3;0.3;6.2;0;1;1;4.5
FH;2;Pleasures EP;8;0.2;0.2;1;0.7;1.5;5.5;0.6;0.2;0;0.2;0.5;3.5
FH;2;Jadore EP;9;0.5;2;3;0.5;0.5;5.8;0.3;0.2;0;0.8;0.6;4.5
FH;2;Linstant EP;10;0.3;2.4;0.4;0.4;0.5;5.6;0.5;0.2;0;0.5;0.5;4.2
FH;2;Cinema EP;11;0.5;2;0.5;0.5;0.5;7.5;0.5;0.2;0;0.5;4.2;6.3
FH;2;Shalimar ET;12;5.2;9;3.3;0.5;1.5;2.2;2.3;0.2;0;1.2;8.7;8
